COUNTRY_ALPHA,E016,E069_54,F050,F051,F053,F054,E217,E218,E220,I001,I002,E234
CHN,1,1,0,0,0,0,9,9,7,4,4,8
CHN,1,2,0,1,1,1,7,8,6,7,7,7
CHN,1,3,0,0,0,0,7,8,7,8,4,9
CHN,1,2,0,0,0,0,10,10,7,8,1,7
CHN,1,2,0,0,0,0,9,8,1,1,1,10
CHN,1,1,0,1,1,1,10,10,6,8,2,10
CHN,1,1,1,1,1,1,2,3,4,3,8,10
CHN,1,3,0,1,1,1,8,8,2,2,2,9
CHN,1,2,0,0,0,0,9,9,8,8,2,10
CHN,1,2,0,0,0,0,10,10,1,1,1,10
CHN,1,2,1,1,0,1,10,9,2,5,2,10
CHN,1,2,1,0,0,0,10,9,10,9,2,10
CHN,1,1,0,0,0,1,10,10,6,7,8,10
CHN,1,1,0,0,0,0,8,7,4,8,3,9
CHN,1,2,0,0,0,0,9,8,10,9,3,3
CHN,1,3,0,0,0,0,8,10,7,10,3,9
CHN,1,1,0,0,0,0,10,10,3,4,2,10
CHN,1,1,0,0,0,0,10,10,10,2,1,10
CHN,1,2,0,0,0,1,9,9,1,5,4,7
CHN,1,1,1,1,1,0,8,10,2,3,3,8
CHN,1,1,0,0,0,0,8,8,9,2,3,9
CHN,1,1,0,0,0,0,9,9,8,10,2,10
CHN,1,2,0,0,0,0,9,9,2,2,2,10
CHN,1,2,1,0,1,0,8,7,2,3,4,9
CHN,1,2,0,1,1,1,8,7,7,6,2,8
CHN,1,2,0,0,0,0,1,6,5,4,8,9
CHN,1,2,0,0,0,0,9,10,10,9,2,10
CHN,1,2,0,0,1,0,8,8,8,8,1,8
CHN,1,2,1,0,0,0,10,10,1,10,1,10
CHN,1,2,1,1,1,1,10,9,8,7,7,9
CHN,1,2,1,0,0,0,3,3,6,6,3,5
CHN,1,1,0,0,0,0,10,9,1,1,2,10
CHN,1,1,0,0,0,0,8,9,8,7,4,10
CHN,1,1,0,0,0,0,6,10,7,4,3,9
CHN,1,2,1,0,0,0,9,9,8,7,3,9
CHN,1,2,1,0,0,0,10,10,2,6,2,9
CHN,1,2,0,0,0,0,10,10,6,6,6,10
CHN,1,1,0,0,0,0,9,6,3,3,1,8
CHN,1,2,0,0,0,0,8,8,7,3,2,9
CHN,1,1,1,1,1,1,9,6,10,8,9,10
CHN,1,2,0,1,1,1,8,8,5,6,2,8
CHN,1,2,0,0,0,0,9,9,2,2,2,7
CHN,1,1,0,1,1,1,8,8,8,6,3,6
CHN,1,2,1,1,1,1,3,6,4,3,2,8
CHN,1,2,0,0,0,0,10,10,4,1,1,7
CHN,1,2,0,0,1,0,10,8,10,8,1,10
CHN,1,2,0,0,0,0,8,8,5,6,2,10
CHN,1,2,0,0,0,0,8,10,5,4,2,6
CHN,1,2,0,1,0,0,6,9,6,4,5,8
CHN,1,2,0,0,0,0,10,10,6,6,2,9
CHN,1,2,0,0,0,0,8,9,4,7,3,9
CHN,1,2,0,0,0,0,8,8,4,5,2,9
CHN,1,1,0,0,0,0,9,10,6,7,3,9
CHN,1,1,0,0,0,0,10,10,1,7,1,10
CHN,1,1,0,0,0,0,10,9,7,2,1,10
CHN,1,2,0,1,1,1,8,10,10,-2,1,5
CHN,1,2,0,0,0,0,5,9,5,7,1,6
CHN,1,2,0,0,0,0,9,9,2,1,3,8
CHN,1,2,0,0,0,0,7,8,10,10,2,10
CHN,1,2,0,0,0,0,10,10,7,7,2,9
CHN,1,2,0,0,0,0,5,6,10,2,1,8
CHN,1,2,0,0,0,0,8,9,9,3,2,8
CHN,1,3,0,0,0,0,10,10,2,5,3,8
CHN,1,2,0,0,0,0,8,8,9,3,2,8
CHN,1,1,0,0,0,0,9,8,5,6,8,7
CHN,1,2,0,0,0,0,10,10,7,8,6,7
CHN,1,1,1,0,0,0,9,5,8,6,2,9
CHN,1,2,0,0,0,0,8,7,10,4,1,6
CHN,1,2,1,1,0,0,8,7,8,7,3,7
CHN,1,2,1,1,1,1,8,7,5,7,8,7
CHN,1,2,1,1,0,0,8,8,8,8,3,8
CHN,2,3,1,0,1,1,10,1,10,5,1,5
CHN,1,2,0,0,0,0,7,10,4,4,4,8
CHN,1,2,0,0,0,0,6,7,4,3,2,8
CHN,1,2,0,0,0,0,10,10,3,3,3,9
CHN,1,2,1,1,1,1,8,8,5,5,4,-2
CHN,1,1,0,0,0,0,10,10,1,1,1,10
CHN,1,2,1,0,0,0,10,10,5,7,1,10
CHN,1,2,0,0,0,0,10,10,10,5,1,10
CHN,1,2,0,0,0,0,10,10,10,7,1,10
CHN,1,1,1,0,1,1,8,8,2,7,1,9
CHN,1,2,0,1,1,1,9,8,5,5,5,9
CHN,1,1,0,0,0,0,5,6,5,6,4,7
CHN,3,3,0,0,0,0,3,4,4,3,3,4
CHN,1,2,0,0,1,1,10,10,8,7,3,9
CHN,1,2,0,0,0,0,10,10,1,1,1,10
CHN,1,2,0,0,0,0,6,8,9,8,2,7
CHN,1,2,0,0,0,0,10,10,8,5,1,10
CHN,1,2,0,0,0,0,10,10,10,10,1,6
CHN,1,2,0,0,0,0,10,10,10,1,1,10
CHN,1,3,0,0,0,0,2,2,10,5,1,9
CHN,1,2,0,0,0,0,9,10,3,3,2,9
CHN,1,2,0,0,0,0,8,8,3,3,2,8
CHN,1,2,0,1,1,1,8,9,5,4,3,7
CHN,1,1,0,0,0,0,8,9,9,8,5,9
CHN,1,3,0,1,0,0,10,10,8,8,3,10
CHN,1,2,0,0,0,0,8,8,4,4,3,8
CHN,1,3,0,0,0,0,9,9,3,5,8,9
CHN,1,1,0,0,0,0,10,10,1,1,1,10
CHN,1,1,0,0,0,0,10,8,2,8,2,6
CHN,1,2,0,0,0,0,10,10,10,10,2,10
CHN,1,2,0,0,0,0,10,10,10,8,1,10
CHN,1,3,1,0,1,1,10,9,5,8,1,9
CHN,1,2,0,0,0,0,10,10,1,5,1,7
CHN,1,2,0,0,0,0,10,10,5,7,7,9
CHN,1,2,0,0,0,0,5,5,5,5,5,5
CHN,1,2,0,0,0,0,10,10,7,7,5,5
CHN,1,4,1,1,1,1,10,5,5,2,1,10
CHN,1,2,0,0,0,0,7,7,9,6,1,9
CHN,1,1,0,0,0,0,10,10,10,9,1,10
CHN,1,2,1,0,0,0,8,8,3,2,4,8
CHN,1,2,1,0,0,0,9,9,8,6,2,10
CHN,1,2,0,0,0,0,8,5,4,4,4,7
CHN,1,2,0,0,0,0,8,9,8,7,3,7
CHN,1,2,0,0,0,0,10,9,5,5,2,10
CHN,1,1,0,0,0,0,8,7,8,8,2,9
CHN,1,2,0,1,0,0,8,9,2,3,5,7
CHN,1,2,0,0,0,0,9,9,9,3,2,9
CHN,1,2,0,0,0,0,10,8,8,1,1,10
CHN,1,3,1,1,1,1,8,6,7,6,2,8
CHN,1,2,0,0,0,0,10,10,10,1,1,10
CHN,1,2,0,0,0,0,9,9,9,8,2,9
CHN,1,3,1,1,1,1,10,10,1,10,1,7
CHN,1,3,0,0,0,0,10,10,10,1,1,10
CHN,1,2,1,1,1,1,8,5,5,5,7,5
CHN,1,-1,0,0,0,0,9,9,5,5,2,10
CHN,1,1,0,0,0,0,10,10,10,10,1,10
CHN,1,2,0,0,0,0,7,10,6,6,2,10
CHN,1,2,0,0,0,0,10,10,10,6,1,9
CHN,1,2,0,0,0,0,10,10,10,5,5,10
CHN,2,2,0,0,0,0,10,10,9,7,2,9
CHN,1,1,0,0,0,0,10,10,4,8,2,9
CHN,1,2,0,0,0,0,8,8,7,5,3,8
CHN,1,2,0,0,0,0,8,8,8,8,3,8
CHN,1,2,0,0,0,0,10,8,3,8,9,9
CHN,1,2,0,0,0,0,10,9,4,2,1,9
CHN,1,1,0,0,0,0,6,6,6,6,1,6
CHN,1,1,0,0,0,0,10,10,8,8,1,10
CHN,1,1,1,0,0,0,10,10,1,10,10,10
CHN,1,2,0,0,0,0,9,10,8,7,4,10
CHN,1,2,0,0,0,0,7,8,9,2,1,8
CHN,1,1,0,0,0,0,10,10,10,10,1,10
CHN,1,1,0,0,0,0,10,10,10,10,1,10
CHN,1,2,0,0,0,0,10,10,1,10,1,10
CHN,1,2,0,0,0,0,10,10,10,1,1,10
CHN,1,1,0,0,0,0,8,10,2,3,1,10
CHN,1,2,0,0,0,0,10,10,4,2,1,9
CHN,1,2,1,0,0,0,10,10,7,7,1,10
CHN,1,2,0,0,0,0,4,7,2,2,1,5
CHN,1,1,0,0,0,0,10,9,1,3,9,10
CHN,1,1,0,0,0,0,10,10,10,10,1,10
CHN,1,2,0,0,1,0,10,10,10,1,1,10
CHN,1,1,0,0,0,0,10,8,8,6,2,10
CHN,1,1,0,1,0,0,10,10,7,9,1,10
CHN,1,2,0,0,0,0,9,9,9,8,1,9
CHN,1,2,1,1,1,1,10,2,1,4,1,10
CHN,1,2,0,0,0,0,9,9,2,1,1,10
CHN,1,2,0,0,0,0,10,10,4,5,1,10
CHN,1,1,0,0,0,0,10,10,9,8,1,10
CHN,1,1,1,0,1,1,9,10,1,4,1,5
CHN,2,1,0,0,0,0,10,10,1,1,1,10
CHN,1,2,0,0,0,0,9,8,4,4,1,10
CHN,1,1,0,0,0,0,8,8,7,8,4,8
CHN,1,2,0,0,0,0,9,9,3,3,1,9
CHN,1,1,0,0,0,0,8,8,8,10,1,10
CHN,1,1,0,0,0,0,8,9,1,3,1,9
CHN,1,1,0,0,0,0,9,10,8,7,4,9
CHN,1,2,0,0,0,0,8,8,3,4,2,9
CHN,1,1,0,0,0,0,10,10,3,2,2,9
CHN,1,3,0,0,0,0,6,8,6,4,3,7
CHN,1,1,0,0,0,0,10,10,2,5,1,10
CHN,1,1,0,0,0,0,9,9,9,8,3,9
CHN,1,2,0,0,0,0,8,9,3,8,2,10
CHN,1,1,0,0,0,0,10,10,1,10,1,10
CHN,1,2,0,0,0,0,8,8,6,6,3,8
CHN,1,2,0,0,0,0,10,10,8,6,3,10
CHN,2,1,0,0,0,0,9,10,8,2,1,9
CHN,1,2,0,0,0,0,10,10,6,6,3,9
CHN,1,2,1,0,0,1,10,10,1,10,1,10
CHN,1,2,0,0,0,0,6,6,8,7,4,8
CHN,1,1,0,0,0,0,10,10,1,5,10,10
CHN,1,2,0,0,0,0,9,8,7,4,2,9
CHN,1,4,0,0,0,0,10,9,6,8,2,8
CHN,1,2,0,0,0,0,10,9,6,2,2,8
CHN,1,2,0,0,0,0,10,10,7,8,1,10
CHN,1,2,0,0,0,0,8,8,4,8,3,7
CHN,1,1,0,0,0,0,10,9,6,5,2,7
CHN,1,2,1,0,0,0,10,9,8,4,7,8
CHN,1,2,0,0,0,0,9,9,8,5,1,10
CHN,2,2,0,0,0,0,9,10,8,6,3,10
CHN,1,1,0,1,0,0,10,8,5,8,1,9
CHN,1,1,0,0,0,0,10,10,1,3,2,8
COL,1,1,1,1,1,1,4,5,7,7,5,3
COL,1,1,1,1,1,1,10,10,8,10,1,10
COL,2,1,1,0,1,1,5,5,3,9,1,2
COL,1,1,1,1,1,1,5,6,8,8,8,3
COL,1,2,1,0,0,1,1,6,10,10,1,1
COL,1,1,1,0,1,1,5,10,10,10,1,10
COL,1,3,1,0,0,0,10,5,5,1,5,1
COL,2,3,1,1,1,1,1,10,10,10,1,1
COL,1,2,1,1,1,1,8,10,6,3,1,8
COL,3,2,1,1,1,1,10,10,1,1,1,9
COL,3,3,1,1,0,1,1,1,1,9,2,2
COL,1,2,1,0,0,1,2,9,5,1,5,7
COL,3,1,0,1,0,0,1,1,1,1,8,8
COL,1,2,1,1,1,1,2,3,2,3,8,5
COL,1,1,1,1,1,1,10,10,1,10,10,10
COL,1,2,1,1,1,1,4,8,10,7,1,7
COL,1,1,1,0,0,1,10,10,10,10,1,10
COL,1,3,1,1,1,1,1,2,10,10,5,1
COL,1,3,1,0,0,0,5,1,1,1,10,10
COL,1,1,1,0,0,0,10,10,10,10,5,1
COL,1,2,1,0,0,1,9,10,2,10,9,10
COL,3,2,1,1,0,1,8,10,7,10,10,10
COL,1,2,0,0,0,0,9,9,8,3,1,8
COL,3,1,1,1,1,1,5,5,5,5,5,5
COL,1,3,1,1,1,1,8,10,6,10,1,5
COL,2,2,1,1,1,1,5,10,10,10,6,9
COL,3,2,1,1,0,1,1,1,1,10,10,1
COL,1,3,1,1,0,1,2,5,5,1,1,10
COL,1,1,1,1,1,1,8,9,7,4,10,6
COL,1,1,0,1,1,0,5,7,5,7,4,6
COL,3,4,1,0,1,1,10,8,10,10,10,7
COL,1,2,1,0,1,1,6,8,3,5,6,8
COL,1,1,1,1,1,1,10,10,10,10,10,1
COL,1,3,1,1,0,1,10,10,10,10,10,1
COL,1,1,1,0,1,1,5,10,10,10,1,10
COL,1,3,1,0,0,0,5,5,5,6,5,5
COL,1,1,1,0,1,0,8,3,9,9,3,6
COL,1,2,1,0,0,1,10,10,7,6,10,1
COL,3,3,1,0,0,1,1,10,1,1,10,1
COL,1,2,1,1,1,1,5,10,7,5,10,2
COL,1,2,1,1,0,1,10,10,1,1,10,10
COL,3,1,1,0,0,1,1,7,10,10,10,8
COL,2,3,1,1,1,1,8,8,10,10,5,6
COL,3,2,1,1,1,1,10,10,10,10,1,5
COL,1,2,1,1,1,1,1,6,6,6,8,10
COL,1,3,1,1,0,1,10,10,1,1,10,10
COL,2,2,1,1,1,1,10,10,1,10,1,1
COL,3,4,1,1,1,1,1,10,10,10,1,1
COL,1,3,1,1,1,1,6,7,10,10,10,2
COL,1,3,1,0,1,1,2,1,10,10,10,1
COL,2,3,1,0,0,0,7,2,9,6,8,2
COL,1,3,1,1,0,1,5,5,3,5,3,8
COL,3,2,1,1,1,1,3,4,8,6,8,5
COL,1,4,1,0,0,0,1,3,2,2,5,5
COL,3,3,1,1,1,1,10,10,10,10,1,10
COL,1,3,1,0,0,1,7,5,9,8,7,6
COL,1,3,1,1,1,1,1,10,10,10,1,10
COL,1,1,1,0,0,0,9,10,10,9,9,9
COL,1,2,0,1,0,0,7,8,4,7,3,8
COL,1,1,1,1,1,0,10,10,10,10,10,10
COL,3,3,1,1,1,1,10,10,10,10,1,1
COL,1,3,1,0,0,0,10,10,10,1,1,1
COL,1,1,1,1,0,1,10,10,9,1,1,10
COL,1,1,1,1,1,1,10,10,10,10,10,1
COL,1,1,1,0,0,1,10,10,10,1,10,6
COL,1,1,1,0,0,1,10,10,10,10,10,9
COL,1,2,1,1,0,1,6,10,10,10,5,5
COL,1,3,1,1,0,1,10,1,1,10,1,1
COL,1,3,1,1,1,1,3,8,9,2,1,1
COL,1,3,1,1,0,1,10,1,10,10,10,1
COL,1,2,1,0,0,1,10,10,4,4,7,8
COL,3,2,1,0,0,1,1,10,1,10,1,10
COL,3,3,1,0,0,0,10,3,2,1,2,1
COL,1,3,1,1,1,1,10,10,10,10,10,7
COL,1,1,1,1,0,1,3,8,5,7,3,10
COL,1,3,1,1,1,1,3,8,1,3,3,1
COL,1,1,1,1,0,1,5,5,10,10,9,5
COL,1,2,0,0,0,0,9,9,10,2,3,9
COL,1,2,1,1,1,1,5,10,5,10,5,5
COL,3,1,1,1,0,1,5,10,1,5,5,1
COL,2,1,1,0,0,0,10,10,10,10,10,1
COL,3,4,1,0,0,1,6,10,10,3,8,5
COL,3,1,1,1,1,1,1,1,10,10,1,5
COL,1,3,1,1,1,1,10,10,10,10,10,10
COL,1,2,1,0,1,1,10,5,5,10,6,6
COL,3,1,1,0,1,1,10,1,10,1,10,10
COL,1,3,1,1,0,1,3,8,10,7,3,10
COL,1,1,1,1,1,1,8,6,8,10,8,5
COL,1,1,1,1,1,1,9,10,7,1,10,8
COL,2,2,1,1,0,0,10,10,8,1,1,7
COL,1,3,1,0,1,1,9,10,10,10,10,1
COL,1,3,1,0,1,1,1,10,10,10,10,5
COL,1,1,0,1,0,0,1,4,1,1,1,10
COL,1,3,1,1,1,1,1,1,10,5,10,10
COL,1,3,1,0,1,1,8,6,4,4,3,5
COL,3,2,1,0,0,0,10,3,8,8,9,8
COL,1,3,1,1,1,1,10,5,1,2,10,5
COL,1,2,1,1,0,1,10,10,10,7,9,1
COL,1,2,0,1,0,0,10,10,6,2,8,7
COL,1,3,1,0,0,1,1,8,7,5,8,9
COL,2,1,1,0,0,1,10,1,10,10,1,1
COL,1,1,1,0,0,1,10,1,1,10,10,1
COL,1,2,1,1,0,1,7,8,6,6,3,7
COL,1,3,1,1,1,1,7,8,10,7,6,5
COL,1,3,1,1,1,1,1,7,7,9,8,1
COL,1,1,1,1,1,1,10,10,10,10,1,8
COL,1,3,1,1,0,1,8,8,8,8,8,10
COL,1,1,1,0,1,1,6,10,7,8,5,1
COL,1,1,1,1,1,1,9,10,9,8,9,10
COL,1,2,1,1,1,1,9,9,5,6,8,8
COL,1,1,1,1,1,1,9,8,7,8,6,1
COL,1,2,1,1,1,1,1,1,1,1,1,1
COL,3,3,1,1,1,1,1,10,10,9,9,4
COL,1,3,1,1,1,1,6,6,5,7,2,7
COL,3,1,1,0,0,0,8,10,1,5,2,9
COL,1,1,1,1,1,1,10,10,2,10,10,10
COL,3,2,1,1,1,1,6,9,10,9,8,6
COL,1,3,1,1,1,1,10,10,10,10,10,1
COL,1,3,1,1,0,1,5,2,2,5,8,1
COL,1,4,1,1,1,1,6,1,10,10,1,10
COL,3,1,1,0,0,0,1,8,10,1,9,10
COL,1,1,1,0,0,1,1,10,10,1,10,7
COL,1,2,1,1,0,1,1,8,4,10,4,1
COL,2,3,1,1,0,1,1,9,8,7,1,10
COL,1,1,1,1,1,1,10,10,1,1,1,10
COL,1,3,1,1,1,1,10,10,10,1,1,10
COL,1,1,1,1,0,0,10,10,8,10,2,5
COL,1,3,1,1,1,1,8,7,5,6,8,7
COL,1,3,1,0,0,0,1,1,1,1,10,1
COL,1,1,1,1,1,1,9,8,6,6,6,5
COL,3,1,1,1,0,1,10,5,10,4,2,8
COL,3,3,1,0,0,0,10,10,10,10,10,1
COL,1,2,1,0,1,1,10,5,10,10,4,5
COL,3,3,1,0,0,1,7,8,10,10,6,5
COL,1,1,1,1,0,0,4,9,9,10,1,8
COL,1,2,1,1,1,1,6,6,6,8,1,6
COL,1,3,1,1,0,1,10,10,1,1,1,1
COL,1,3,1,0,0,1,1,10,10,10,10,1
COL,1,1,1,1,0,1,10,10,10,1,1,1
COL,1,1,1,1,1,0,10,10,10,10,10,1
COL,1,3,1,1,0,1,10,7,8,6,9,7
COL,1,3,1,1,0,1,1,1,1,1,10,1
COL,3,3,1,1,1,1,4,9,8,5,5,8
COL,1,1,1,1,1,1,10,10,1,1,1,1
COL,1,1,1,1,0,1,7,8,7,7,1,8
COL,3,2,1,1,1,1,6,3,7,4,7,6
COL,3,2,1,0,0,0,10,10,10,10,10,10
COL,1,3,1,0,1,1,5,9,10,9,4,4
COL,3,3,1,1,0,1,5,6,10,10,10,10
COL,1,2,1,0,0,0,10,10,5,5,1,10
COL,3,3,1,0,0,1,5,6,1,10,5,5
COL,1,1,1,1,1,1,1,10,10,6,10,10
COL,3,1,1,1,1,1,1,6,10,10,5,1
COL,1,2,1,1,1,0,10,10,1,1,10,1
COL,1,3,1,1,1,1,8,8,10,1,10,10
COL,3,3,1,1,1,1,10,10,10,10,1,1
COL,1,3,1,1,1,1,7,8,4,4,3,8
COL,1,2,1,1,1,1,10,10,1,1,1,10
COL,1,2,1,0,0,0,1,5,5,5,5,5
COL,1,1,1,1,1,1,10,10,10,10,10,10
COL,1,4,1,0,1,1,10,10,10,1,10,10
COL,1,1,1,0,0,0,4,7,2,1,1,10
COL,1,2,1,1,1,1,1,10,1,10,10,1
COL,1,2,1,0,1,1,1,1,9,9,2,3
COL,1,1,1,1,1,1,8,8,8,1,10,10
COL,1,1,1,1,1,1,9,9,10,7,9,6
COL,3,3,1,1,1,1,1,1,10,10,1,1
COL,3,2,1,1,1,1,6,10,10,5,1,10
COL,2,1,1,1,0,1,4,6,8,2,5,9
COL,1,4,1,0,0,0,1,7,2,4,5,1
COL,1,3,1,0,0,1,1,1,3,1,1,10
COL,1,3,1,1,1,1,6,9,10,8,6,5
COL,2,1,1,0,0,1,8,5,10,8,8,5
COL,1,3,1,1,1,1,10,10,10,10,1,1
COL,3,3,1,1,1,1,7,8,9,1,7,1
COL,1,1,1,0,0,1,7,9,10,10,6,1
COL,1,3,1,1,1,1,8,10,8,2,7,6
COL,1,2,1,1,0,1,1,3,10,10,1,1
COL,2,2,1,1,0,1,10,7,8,6,9,2
COL,1,1,1,1,0,1,4,7,1,1,1,1
COL,1,1,1,1,1,0,3,7,7,3,6,5
COL,1,1,1,1,1,1,10,10,10,10,1,10
COL,1,3,1,1,0,1,10,10,9,8,10,1
COL,2,1,1,1,1,1,9,6,10,9,10,1
COL,1,1,1,1,1,1,5,10,10,10,10,6
COL,1,3,1,0,1,1,10,10,9,10,5,1
COL,2,1,1,1,1,1,1,2,8,1,1,1
COL,1,2,1,0,0,1,7,9,6,5,8,10
COL,1,3,1,0,1,1,6,5,5,1,1,5
COL,1,3,1,0,0,1,5,8,8,3,9,8
COL,1,1,1,0,1,1,10,10,9,8,9,10
COL,1,1,1,1,0,1,10,10,10,5,1,1
COL,1,1,1,1,1,1,10,10,10,10,5,10
COL,3,1,1,1,0,1,9,2,8,8,6,6
COL,1,1,1,0,0,1,6,5,8,9,3,8
COL,1,4,1,1,0,1,10,10,10,1,1,10
COL,1,1,1,1,1,1,10,10,10,10,10,10
COL,1,1,1,0,0,0,10,10,10,10,10,10
COL,1,1,1,1,1,1,4,5,8,10,6,5
COL,1,2,1,0,0,1,7,8,6,8,8,6
COL,1,4,1,0,0,1,10,10,10,10,10,5
COL,3,3,1,0,0,0,4,7,8,5,4,4
COL,1,1,1,1,0,1,10,10,10,1,1,10
COL,1,1,1,1,0,1,8,4,3,4,8,1
COL,1,2,1,1,0,1,10,10,10,5,1,4
COL,1,1,1,1,1,1,2,8,8,3,6,7
COL,3,3,1,0,1,1,9,2,2,3,8,1
COL,1,2,1,1,1,1,8,8,9,2,2,10
COL,1,2,1,1,1,1,7,8,8,3,1,8
COL,1,1,1,1,1,1,6,8,8,7,6,10
COL,1,2,1,1,1,1,2,2,2,2,5,3
COL,1,1,1,1,0,1,4,6,6,6,4,10
COL,1,1,1,1,0,1,1,10,10,1,10,1
COL,1,3,1,0,0,1,1,10,10,10,1,1
COL,1,4,1,1,1,1,10,10,10,10,10,10
COL,3,1,1,1,1,1,10,10,1,1,10,10
COL,1,2,1,1,1,1,6,7,8,6,7,8
COL,1,3,1,0,0,1,10,10,7,7,10,7
COL,3,2,1,0,0,1,10,10,1,1,1,4
COL,1,3,1,1,1,1,5,10,9,9,7,8
COL,1,4,1,1,1,1,10,10,10,1,10,10
COL,1,1,1,0,1,1,10,10,5,5,10,10
COL,1,3,1,1,1,1,10,10,10,1,10,1
COL,1,2,1,0,0,1,6,6,5,8,6,7
COL,3,4,1,1,0,1,5,5,5,5,8,9
COL,1,4,1,0,0,1,8,8,7,6,6,8
COL,3,1,1,0,0,1,4,8,1,1,3,1
COL,1,3,1,0,1,1,8,8,8,5,7,8
COL,1,1,1,0,0,1,10,10,5,7,6,5
COL,1,2,1,1,1,1,5,8,8,5,4,7
COL,3,3,1,0,0,1,5,5,10,10,5,1
COL,1,3,1,0,0,0,7,8,9,7,4,8
COL,1,2,1,1,1,1,10,10,10,1,1,10
COL,1,2,1,0,0,1,10,10,1,1,10,10
COL,1,2,1,1,1,1,10,10,10,5,9,7
COL,3,2,1,0,1,1,5,9,7,6,1,3
COL,1,3,1,0,0,0,10,1,10,10,1,10
COL,1,4,1,1,1,1,1,5,5,1,1,1
COL,2,4,1,1,1,1,5,8,10,10,1,1
COL,1,2,1,1,1,1,4,9,4,4,3,5
COL,1,2,1,1,1,1,7,10,7,5,4,6
COL,2,2,1,0,0,1,4,4,4,8,9,9
COL,1,3,1,1,1,1,8,8,8,5,2,5
COL,1,2,1,0,0,0,8,9,6,3,3,8
COL,1,3,1,0,0,0,9,8,6,6,10,10
COL,1,1,1,0,0,1,8,4,5,1,1,3
COL,2,1,1,0,1,1,10,5,6,5,7,8
COL,1,1,1,0,0,0,10,8,10,8,8,10
COL,1,2,1,1,1,1,5,7,1,7,7,4
COL,1,1,1,1,1,1,5,5,6,5,5,5
COL,1,4,1,1,1,1,6,5,10,6,6,6
COL,1,2,1,1,1,1,8,3,10,5,5,5
COL,1,1,1,0,0,0,8,9,6,9,7,9
COL,1,1,1,1,0,0,5,8,1,9,3,1
COL,1,2,1,1,1,1,5,10,10,10,5,10
COL,3,3,1,1,1,1,8,5,9,8,4,6
COL,1,2,1,1,0,1,6,10,10,10,5,5
COL,1,2,1,1,1,1,6,10,10,6,7,7
COL,1,4,1,1,1,1,8,9,10,3,5,6
COL,2,2,1,1,1,1,5,5,7,4,2,5
COL,1,2,1,0,0,1,6,9,5,6,2,5
COL,3,1,1,1,1,1,1,1,10,10,10,1
COL,2,1,1,0,0,0,1,10,5,1,1,1
COL,1,2,1,1,1,1,6,8,8,7,3,7
COL,1,2,1,0,1,1,7,8,9,9,8,6
COL,1,3,1,0,0,1,1,1,10,1,1,10
COL,1,3,1,1,1,1,10,9,9,9,2,1
COL,1,3,1,0,0,1,10,1,10,10,1,5
COL,1,2,1,1,1,1,8,8,7,6,6,7
COL,3,3,0,0,0,0,8,6,7,5,3,7
COL,1,1,1,0,0,1,10,10,1,1,10,1
COL,1,3,1,1,0,1,10,10,1,1,1,1
COL,1,3,1,1,0,1,5,6,6,9,8,3
COL,3,3,1,1,1,1,5,2,8,6,3,3
COL,1,2,1,1,1,1,10,10,8,6,1,8
COL,1,2,1,1,1,1,10,10,10,1,1,10
COL,1,2,0,1,0,0,10,10,10,1,10,10
COL,1,2,1,1,1,1,10,10,7,7,9,8
COL,3,4,1,0,0,1,5,5,2,1,5,5
COL,1,4,0,1,0,0,10,10,1,1,10,10
COL,1,3,1,1,1,1,10,8,1,10,5,6
COL,2,2,1,1,0,0,8,8,9,7,2,7
COL,1,1,1,1,0,0,8,8,10,5,1,10
COL,2,3,1,1,0,1,2,10,2,10,5,7
COL,1,1,1,1,0,1,10,10,10,10,1,10
COL,1,3,1,1,1,1,8,5,7,9,4,8
COL,1,1,1,1,0,1,10,8,8,2,4,3
COL,1,3,1,0,0,1,10,10,10,10,4,5
COL,1,2,1,0,0,1,6,5,5,5,6,3
COL,3,1,1,0,0,0,7,8,7,9,4,5
COL,1,3,1,0,0,0,7,9,3,4,6,8
COL,1,2,1,1,0,1,10,8,9,4,7,10
COL,1,1,1,0,0,1,5,8,6,5,7,10
COL,1,4,1,1,0,1,10,10,10,10,10,10
COL,1,2,1,0,0,0,9,9,6,5,1,10
COL,1,1,1,1,0,1,10,9,9,8,7,9
COL,1,3,1,1,0,1,10,5,4,3,1,1
COL,3,3,1,1,1,1,1,1,10,10,1,5
COL,1,3,1,0,0,1,3,7,5,5,3,2
COL,1,2,1,1,1,1,4,5,4,6,8,8
COL,1,1,1,1,1,1,9,10,9,7,5,8
COL,1,3,1,0,0,1,10,10,1,1,10,10
COL,1,1,1,0,0,0,1,10,10,10,10,10
COL,1,3,1,0,0,0,10,10,10,1,1,10
COL,1,3,1,1,0,1,8,1,8,8,7,9
COL,1,3,1,1,0,0,5,8,8,2,1,9
COL,1,1,1,1,0,1,8,8,8,8,7,7
COL,1,4,0,0,0,0,10,10,10,8,7,10
COL,1,1,1,1,1,1,8,6,9,8,4,6
COL,1,1,1,0,1,1,6,7,8,8,6,5
COL,3,3,1,1,1,1,1,5,10,10,10,5
COL,1,1,1,1,0,1,10,10,6,5,6,8
COL,2,3,1,0,1,1,5,5,5,6,5,1
COL,1,4,1,0,0,1,10,10,8,1,1,10
COL,1,1,1,1,0,1,10,10,6,2,10,4
COL,1,2,1,0,0,1,1,10,10,10,1,1
COL,1,3,1,1,1,1,1,1,1,10,10,1
